Token<Keyword : "namespace", Line: 12, Char: 0>
Token<Identifier : "prop", Line: 13, Char: 0>
Token<Symbol : "{", Line: 14, Char: 309815376>
Token<Keyword : "judgement", Line: 15, Char: 0>
Token<Identifier : "is_formula", Line: 16, Char: 0>
Token<Symbol : "(", Line: 16, Char: 309815376>
Token<Identifier : "phi", Line: 16, Char: 0>
Token<Symbol : ")", Line: 16, Char: 309815376>
Token<Symbol : ";", Line: 16, Char: 309815376>
Token<Keyword : "judgement", Line: 18, Char: 0>
Token<Identifier : "has_proof", Line: 19, Char: 0>
Token<Symbol : "(", Line: 19, Char: 309815376>
Token<Identifier : "phi", Line: 19, Char: 0>
Token<Symbol : ")", Line: 19, Char: 309815376>
Token<Symbol : ";", Line: 19, Char: 309815376>
Token<Keyword : "axiom", Line: 21, Char: 0>
Token<Identifier : "WF_negation", Line: 22, Char: 0>
Token<Symbol : "(", Line: 22, Char: 309815376>
Token<Identifier : "phi", Line: 22, Char: 0>
Token<Symbol : ")", Line: 22, Char: 309815376>
Token<Symbol : "{", Line: 23, Char: 309815376>
Token<Keyword : "assume", Line: 24, Char: 0>
Token<Identifier : "is_formula", Line: 24, Char: 0>
Token<Symbol : "(", Line: 24, Char: 309815376>
Token<Symbol : "\", Line: 24, Char: 309815376>
Token<Symbol : "$", Line: 24, Char: 309815376>
Token<Identifier : "phi", Line: 24, Char: 0>
Token<Symbol : "\", Line: 24, Char: 309815376>
Token<Symbol : ")", Line: 24, Char: 309815376>
Token<Symbol : ";", Line: 24, Char: 309815376>
Token<Keyword : "infer", Line: 26, Char: 0>
Token<Identifier : "is_formula", Line: 26, Char: 0>
Token<Symbol : "(", Line: 26, Char: 309815376>
Token<Symbol : "\", Line: 26, Char: 309815376>
Token<Identifier : "not", Line: 26, Char: 0>
Token<Symbol : "$", Line: 26, Char: 309815376>
Token<Identifier : "phi", Line: 26, Char: 0>
Token<Symbol : "\", Line: 26, Char: 309815376>
Token<Symbol : ")", Line: 26, Char: 309815376>
Token<Symbol : ";", Line: 26, Char: 309815376>
Token<Symbol : "}", Line: 27, Char: 309815376>
Token<Keyword : "axiom", Line: 29, Char: 0>
Token<Identifier : "WF_implication", Line: 30, Char: 0>
Token<Symbol : "(", Line: 30, Char: 309815376>
Token<Identifier : "phi", Line: 30, Char: 0>
Token<Symbol : ",", Line: 30, Char: 309815376>
Token<Identifier : "psi", Line: 30, Char: 0>
Token<Symbol : ")", Line: 30, Char: 309815376>
Token<Symbol : "{", Line: 31, Char: 309815376>
Token<Keyword : "assume", Line: 32, Char: 0>
Token<Identifier : "is_formula", Line: 32, Char: 0>
Token<Symbol : "(", Line: 32, Char: 309815376>
Token<Symbol : "\", Line: 32, Char: 309815376>
Token<Symbol : "$", Line: 32, Char: 309815376>
Token<Identifier : "phi", Line: 32, Char: 0>
Token<Symbol : "\", Line: 32, Char: 309815376>
Token<Symbol : ")", Line: 32, Char: 309815376>
Token<Symbol : ";", Line: 32, Char: 309815376>
Token<Keyword : "assume", Line: 33, Char: 0>
Token<Identifier : "is_formula", Line: 33, Char: 0>
Token<Symbol : "(", Line: 33, Char: 309815376>
Token<Symbol : "\", Line: 33, Char: 309815376>
Token<Symbol : "$", Line: 33, Char: 309815376>
Token<Identifier : "psi", Line: 33, Char: 0>
Token<Symbol : "\", Line: 33, Char: 309815376>
Token<Symbol : ")", Line: 33, Char: 309815376>
Token<Symbol : ";", Line: 33, Char: 309815376>
Token<Keyword : "infer", Line: 35, Char: 0>
Token<Identifier : "is_formula", Line: 35, Char: 0>
Token<Symbol : "(", Line: 35, Char: 309815376>
Token<Symbol : "\", Line: 35, Char: 309815376>
Token<Symbol : "(", Line: 35, Char: 309815376>
Token<Symbol : "$", Line: 35, Char: 309815376>
Token<Identifier : "phi", Line: 35, Char: 0>
Token<Identifier : "implies", Line: 35, Char: 0>
Token<Symbol : "$", Line: 35, Char: 309815376>
Token<Identifier : "psi", Line: 35, Char: 0>
